time,temperature_2m
2025-09-01T00:00,16.9
2025-09-01T01:00,16.6
2025-09-01T02:00,16.5
2025-09-01T03:00,15.6
2025-09-01T04:00,15.2
2025-09-01T05:00,15.5
2025-09-01T06:00,15.8
2025-09-01T07:00,14.6
2025-09-01T08:00,15.8
2025-09-01T09:00,16.1
2025-09-01T10:00,16.4
2025-09-01T11:00,17.9
2025-09-01T12:00,19.2
2025-09-01T13:00,20.3
2025-09-01T14:00,20.9
2025-09-01T15:00,21.5
2025-09-01T16:00,21.5
2025-09-01T17:00,22.1
2025-09-01T18:00,22.0
2025-09-01T19:00,20.9
2025-09-01T20:00,19.5
2025-09-01T21:00,17.8
2025-09-01T22:00,16.7
2025-09-01T23:00,15.1
2025-09-02T00:00,14.3
2025-09-02T01:00,13.8
2025-09-02T02:00,14.3
2025-09-02T03:00,14.2
2025-09-02T04:00,13.8
2025-09-02T05:00,13.1
2025-09-02T06:00,12.7
2025-09-02T07:00,12.3
2025-09-02T08:00,12.8
2025-09-02T09:00,14.0
2025-09-02T10:00,15.2
2025-09-02T11:00,17.0
2025-09-02T12:00,18.1
2025-09-02T13:00,19.1
2025-09-02T14:00,20.1
2025-09-02T15:00,21.2
2025-09-02T16:00,20.6
2025-09-02T17:00,18.9
2025-09-02T18:00,18.6
2025-09-02T19:00,17.9
2025-09-02T20:00,16.5
2025-09-02T21:00,16.2
2025-09-02T22:00,16.2
2025-09-02T23:00,16.3
2025-09-03T00:00,16.0
2025-09-03T01:00,16.3
2025-09-03T02:00,16.6
2025-09-03T03:00,16.7
2025-09-03T04:00,15.9
2025-09-03T05:00,15.2
2025-09-03T06:00,15.7
2025-09-03T07:00,16.2
2025-09-03T08:00,16.5
2025-09-03T09:00,16.1
2025-09-03T10:00,16.9
2025-09-03T11:00,17.5
2025-09-03T12:00,17.9
2025-09-03T13:00,19.9
2025-09-03T14:00,22.0
2025-09-03T15:00,22.6
2025-09-03T16:00,23.0
2025-09-03T17:00,23.2
2025-09-03T18:00,19.0
2025-09-03T19:00,17.4
2025-09-03T20:00,16.4
2025-09-03T21:00,16.0
2025-09-03T22:00,16.0
2025-09-03T23:00,16.4
2025-09-04T00:00,17.1
2025-09-04T01:00,16.5
2025-09-04T02:00,15.9
2025-09-04T03:00,15.4
2025-09-04T04:00,15.0
2025-09-04T05:00,14.6
2025-09-04T06:00,14.2
2025-09-04T07:00,14.0
2025-09-04T08:00,14.1
2025-09-04T09:00,15.0
2025-09-04T10:00,16.2
2025-09-04T11:00,17.5
2025-09-04T12:00,18.8
2025-09-04T13:00,20.0
2025-09-04T14:00,20.8
2025-09-04T15:00,21.0
2025-09-04T16:00,20.9
2025-09-04T17:00,20.3
2025-09-04T18:00,19.4
2025-09-04T19:00,18.0
2025-09-04T20:00,16.9
2025-09-04T21:00,16.2
2025-09-04T22:00,15.6
2025-09-04T23:00,15.2
2025-09-05T00:00,14.9
2025-09-05T01:00,14.6
2025-09-05T02:00,14.2
2025-09-05T03:00,13.9
2025-09-05T04:00,13.5
2025-09-05T05:00,13.2
2025-09-05T06:00,12.9
2025-09-05T07:00,12.6
2025-09-05T08:00,12.8
2025-09-05T09:00,14.0
2025-09-05T10:00,15.8
2025-09-05T11:00,17.3
2025-09-05T12:00,18.5
2025-09-05T13:00,19.5
2025-09-05T14:00,20.1
2025-09-05T15:00,20.6
2025-09-05T16:00,20.8
2025-09-05T17:00,20.6
2025-09-05T18:00,20.1
2025-09-05T19:00,19.2
2025-09-05T20:00,18.3
2025-09-05T21:00,17.3
2025-09-05T22:00,16.1
2025-09-05T23:00,15.2
2025-09-06T00:00,14.6
2025-09-06T01:00,14.0
2025-09-06T02:00,13.6
2025-09-06T03:00,13.2
2025-09-06T04:00,13.1
2025-09-06T05:00,12.9
2025-09-06T06:00,12.5
2025-09-06T07:00,12.2
2025-09-06T08:00,12.6
2025-09-06T09:00,14.5
2025-09-06T10:00,17.0
2025-09-06T11:00,19.2
2025-09-06T12:00,20.6
2025-09-06T13:00,21.7
2025-09-06T14:00,22.4
2025-09-06T15:00,23.0
2025-09-06T16:00,23.2
2025-09-06T17:00,23.0
2025-09-06T18:00,22.3
2025-09-06T19:00,21.1
2025-09-06T20:00,20.0
2025-09-06T21:00,19.2
2025-09-06T22:00,18.4
2025-09-06T23:00,17.6
2025-09-07T00:00,16.9
2025-09-07T01:00,16.2
2025-09-07T02:00,15.5
2025-09-07T03:00,14.8
2025-09-07T04:00,14.1
2025-09-07T05:00,13.6
2025-09-07T06:00,13.2
2025-09-07T07:00,13.1
2025-09-07T08:00,13.6
2025-09-07T09:00,15.2
2025-09-07T10:00,17.5
2025-09-07T11:00,19.6
2025-09-07T12:00,21.9
2025-09-07T13:00,24.1
2025-09-07T14:00,25.8
2025-09-07T15:00,26.5
2025-09-07T16:00,26.6
2025-09-07T17:00,26.5
2025-09-07T18:00,26.2
2025-09-07T19:00,25.7
2025-09-07T20:00,25.0
2025-09-07T21:00,24.0
2025-09-07T22:00,23.0
2025-09-07T23:00,21.9
